País de residencia;Tipo de dato;Año;Mes;Total
Resto América;Dato base;2020;3;134830
Resto de Europa;Dato base;2020;3;162384
Resto del Mundo;Dato base;2020;3;106412
Rusia;Dato base;2020;3;21724
Suiza;Dato base;2020;3;37985
Alemania;Dato base;2020;4;0
Bélgica;Dato base;2020;4;0
Estados Unidos de América;Dato base;2020;4;0
Francia;Dato base;2020;4;0
Irlanda;Dato base;2020;4;0
Italia;Dato base;2020;4;0
Países Bajos;Dato base;2020;4;0
Países Nórdicos;Dato base;2020;4;0
Portugal;Dato base;2020;4;0
Reino Unido;Dato base;2020;4;0
Resto América;Dato base;2020;4;0
Resto de Europa;Dato base;2020;4;0
Resto del Mundo;Dato base;2020;4;0
Rusia;Dato base;2020;4;0
Suiza;Dato base;2020;4;0
Alemania;Dato base;2020;5;0
Bélgica;Dato base;2020;5;0
Estados Unidos de América;Dato base;2020;5;0
Francia;Dato base;2020;5;0
Irlanda;Dato base;2020;5;0
Italia;Dato base;2020;5;0
Países Bajos;Dato base;2020;5;0
Países Nórdicos;Dato base;2020;5;0
Portugal;Dato base;2020;5;0
Reino Unido;Dato base;2020;5;0
Resto América;Dato base;2020;5;0
Resto de Europa;Dato base;2020;5;0
Resto del Mundo;Dato base;2020;5;0
Rusia;Dato base;2020;5;0
Suiza;Dato base;2020;5;0
Alemania;Dato base;2020;6;34547
Bélgica;Dato base;2020;6;10225
Estados Unidos de América;Dato base;2020;6;.
Francia;Dato base;2020;6;67859
Irlanda;Dato base;2020;6;.
Italia;Dato base;2020;6;11355
Países Bajos;Dato base;2020;6;13128
Países Nórdicos;Dato base;2020;6;4736
Portugal;Dato base;2020;6;.
Reino Unido;Dato base;2020;6;9436
Resto América;Dato base;2020;6;.
Resto de Europa;Dato base;2020;6;22087
Resto del Mundo;Dato base;2020;6;.
Rusia;Dato base;2020;6;.
Suiza;Dato base;2020;6;3970
Alemania;Dato base;2020;7;430014
Bélgica;Dato base;2020;7;153256
Estados Unidos de América;Dato base;2020;7;15117
Francia;Dato base;2020;7;596334
Irlanda;Dato base;2020;7;31137
Italia;Dato base;2020;7;103190
Países Bajos;Dato base;2020;7;191104
Países Nórdicos;Dato base;2020;7;94344
Portugal;Dato base;2020;7;90284
Reino Unido;Dato base;2020;7;379039
Resto América;Dato base;2020;7;40643
